,xdata,Q,Qm,Wstart,Ctot,P,Ep,Ea
0,0,0.49,0.0,0.0,0.0,0.03864,4.157439999999999,0.0
1,1,0.49,0.0,100.0,0.0,0.0,4.29056,0.0
2,2,0.4,0.0,0.0,0.0,0.0,4.474880000000001,0.0
3,3,0.38,0.0,0.0,0.0,0.0,4.31104,0.0
4,4,0.38,0.0,0.0,0.0,0.0,4.22912,0.0
5,5,0.4,0.0,0.0,0.0,0.0,4.07552,0.0
6,6,0.38,0.0,0.0,0.0,0.0,4.05504,0.0
7,7,0.38,0.0,0.0,0.0,0.0,4.07552,0.0
8,8,0.37,0.0,0.0,0.0,0.0,3.9936,0.0
9,9,0.33,0.0,0.0,0.0,0.0,4.300800000000001,0.0
10,10,0.33,0.0,0.0,0.0,0.0,4.352,0.0
11,11,0.33,0.0,0.0,0.0,0.0,4.38272,0.0
12,12,0.35,0.0,0.0,0.0,0.0,4.38272,0.0
13,13,0.38,0.0,0.0,0.0,0.0,4.38272,0.0
14,14,0.33,0.0,0.0,0.0,0.0,4.4544,0.0
15,15,0.32,0.0,0.0,0.0,0.0,4.31104,0.0
16,16,0.32,0.0,0.0,0.0,0.0,4.3724799999999995,0.0
17,17,0.29,0.0,0.0,0.0,0.0,4.341760000000001,0.0
18,18,0.26,0.0,0.0,0.0,0.0,4.48512,0.0
19,19,0.22,0.0,0.0,0.0,0.0,4.3724799999999995,0.0
20,20,0.26,0.0,0.0,0.0,0.0,4.300800000000001,0.0
21,21,0.2,0.0,0.0,0.0,0.0,4.2598400000000005,0.0
22,22,0.2,0.0,0.0,0.0,0.0,4.36224,0.0
23,23,0.18,0.0,0.0,0.0,0.0,4.474880000000001,0.0
24,24,0.41,0.0,0.0,0.0,0.0,4.42368,0.0
25,25,0.43,0.0,0.0,0.0,0.0,4.48512,0.0
26,26,0.4,0.0,0.0,0.0,0.0,4.5056,0.0
27,27,0.37,0.0,0.0,0.0,0.0,4.36224,0.0
28,28,0.34,0.0,0.0,0.0,0.0,4.38272,0.0
29,29,0.33,0.0,0.0,0.0,0.0,4.4032,0.0
30,30,0.32,0.0,0.0,0.0,0.0,4.341760000000001,0.0
31,31,0.31,0.0,0.0,0.0,0.0,4.83328,0.0
32,32,0.37,0.0,100.0,0.0,0.0,4.7616000000000005,0.0
33,33,0.35,0.0,0.0,0.0,0.0,4.92544,0.0
34,34,0.33,0.0,0.0,0.0,0.0,4.89472,0.0
35,35,0.25,0.0,0.0,0.0,0.0,4.66944,0.0
36,36,0.25,0.0,0.0,0.0,0.0,4.2598400000000005,0.0
37,37,0.29,0.0,0.0,0.0,0.0,4.7616000000000005,0.0
38,38,0.34,0.0,0.0,0.0,0.0,4.5875200000000005,0.0
39,39,0.33,0.0,0.0,0.0,0.0,4.5056,0.0
40,40,0.45,0.0,0.0,0.0,0.44436000000000003,4.66944,0.0
41,41,0.26,0.0,0.0,0.0,0.0,4.66944,0.0
42,42,0.2,0.0,0.0,0.0,0.0,4.73088,0.0
43,43,0.12,0.0,0.0,0.0,0.0,4.52608,0.0
44,44,0.1,0.0,0.0,0.0,0.0,4.208640000000001,0.0
45,45,0.1,0.0,0.0,0.0,2.2894200000000002,4.52608,0.00862230768795396
46,46,0.13,3.6858952889099384e-05,0.0,0.0,6.87792,4.29056,0.2528330351525721
47,47,0.22,0.003198028932260131,0.0,0.0,3.36168,4.42368,0.37119393532912986
48,48,0.26,0.008717868426003517,0.0,0.0,0.84042,4.39296,0.38152917361266064
49,49,0.21,0.007824943694367528,0.0,0.0,0.0,4.2496,0.18189058713309283
50,50,0.26,0.004580361056960807,0.0,0.0,1.56492,4.3724799999999995,0.3555864707012897
51,51,0.29,0.002519198581328444,0.0,0.0,0.0,4.474880000000001,0.22674145527225675
52,52,0.26,0.0013855592197306442,0.0,0.0,0.0,4.70016,0.3560631779030765
53,53,0.18,0.0007620575708518543,0.0,0.0,0.0,4.77184,0.34533199618235305
54,54,0.13,0.0004191316639685199,0.0,0.0,0.0,4.89472,0.33821670821725136
55,55,0.11,0.00023052241518268596,0.0,0.0,0.0,4.8742399999999995,0.3212593890324196
56,56,0.08,0.0001267873283504773,0.0,0.0,0.0,5.24288,0.32975117089988454
57,57,0.08,6.97330305927625e-05,0.0,0.0,0.0,5.08928,0.3044186761921282
58,58,0.08,3.835316682601937e-05,0.0,0.0,0.0,4.976640000000001,0.2836068130131584
59,59,0.11,2.1094241754310657e-05,0.0,0.0,0.0,5.007359999999999,0.2722321648032463
60,60,0.08,1.1601832964870862e-05,200.0,0.0,0.0,5.058560000000001,0.2623532732288772
61,61,0.07,6.381008130678974e-06,0.0,0.0,0.0,4.9152,0.24312335573663574
62,62,0.08,3.5095544718734358e-06,0.0,0.0,0.0,4.9356800000000005,0.2332194124466814
63,63,0.05,1.9302549595303897e-06,0.0,0.0,0.0,4.62848,0.2089355633980826
64,64,0.0,1.0616402277417142e-06,0.0,0.0,0.0,4.22912,0.18295483749935967
65,65,0.0,0.003623941027442828,0.0,0.0,8.94516,4.2598400000000005,0.41857217498545396
66,66,0.81,0.02651054026290411,0.0,0.0,9.49578,4.167680000000001,0.709248244035645
67,67,0.38,0.04807021438096416,0.0,0.0,0.03864,4.53632,0.7361434493778194
68,68,0.21,0.03487328308042684,0.0,0.0,1.0626,4.75136,0.7767957870343307
69,69,0.3,0.050715250972369286,0.0,0.0,5.795999999999999,4.59776,0.9214159795174608
70,70,0.26,0.09528862806336473,0.0,0.0,4.2697199999999995,4.82304,1.0694232690058092
71,71,0.33,0.10486533580262081,0.0,0.0,0.7244999999999999,4.72064,1.0154275578423664
72,72,0.3,0.07112113284173574,0.0,0.0,0.0,4.64896,0.5313202023011178
73,73,0.17,0.04010264437678347,0.0,0.0,0.0,4.74112,0.9495054914108267
74,74,0.19,0.02205645440723091,0.0,0.0,0.0,4.54656,0.8704191415592146
75,75,0.18,0.013311006685565075,0.0,0.0,2.2894200000000002,4.85376,0.8985563190359587
76,76,0.52,0.023066507264075022,0.0,0.0,2.81106,4.73088,0.9371675665787693
77,77,0.31,0.04623387174875313,0.0,0.0,1.6132199999999999,4.95616,0.9937091530498866
78,78,0.39,0.04393823745682213,0.0,0.0,0.0,4.8742399999999995,0.5366176061334188
79,79,0.28,0.025989140066082703,0.0,0.0,0.0,4.8128,0.8940809661630594
80,80,0.31,0.014294027036345485,0.0,0.0,0.0,4.90496,0.8712447878915676
81,81,0.16,0.007861714869990015,0.0,0.0,0.0,4.8128,0.8168733077818567
82,82,0.16,0.0043239431784945085,0.0,0.0,0.0,4.9356800000000005,0.8013898034831721
83,83,0.14,0.0023781687481719796,0.0,0.0,0.37674,4.802560000000001,0.7452769113818232
84,84,0.14,0.001307992811494589,0.0,0.0,0.0,4.61824,0.6300355948720063
85,85,0.11,0.000719396046322024,0.0,0.0,0.483,4.75136,0.679235625852069
86,86,0.18,0.004149983243853458,0.0,0.0,2.7531,4.74112,0.6931620476015372
87,87,0.1,0.009093569816137768,0.0,0.0,0.0,4.82304,0.3862368114511989
88,88,0.11,0.005795876541404207,0.0,0.0,0.0,4.61824,0.6299057557310479
89,89,0.11,0.003187732097772314,0.0,0.0,0.0,4.72064,0.6178716968340575
90,90,0.11,0.0017532526537747724,0.0,0.0,0.29946,5.099520000000001,0.6400688332162743
91,91,0.11,0.0009642889595761248,100.0,0.0,0.7921199999999999,4.99712,0.5995756256450897
92,92,0.1,0.0005303589277668686,0.0,0.0,0.0,4.92544,0.44026675971045753
93,93,0.15,0.0002916974102717777,0.0,0.0,0.0,5.058560000000001,0.5619004910080159
94,94,0.14,0.00016043357564947777,0.0,0.0,0.0,5.08928,0.5410405059704491
95,95,0.15,0.009518289714719652,0.0,0.0,6.74268,5.08928,0.709315365391223
96,96,0.16,0.022343058317421404,0.0,0.0,0.0,5.13024,0.4066865582602692
97,97,0.15,0.01428408091868236,0.0,0.0,0.0,5.34528,0.6891755400241382
98,98,0.13,0.007856244505275299,0.0,0.0,0.0,5.02784,0.6183212023116984
99,99,0.07,0.009001113353178524,0.0,0.0,3.9122999999999997,5.007359999999999,0.6630811020234121
100,100,0.07,0.013441392859775924,0.0,0.0,0.0,5.21216,0.3981988597492413
101,101,0.07,0.008383091922885394,0.0,0.0,0.0,5.498880000000001,0.6758181399491038
102,102,0.07,0.004610700557586967,0.0,0.0,0.0,5.21216,0.6104362695489787
103,103,0.07,0.002535885306672832,0.0,0.0,0.0,5.38624,0.6028899279841962
104,104,0.07,0.0013947369186700575,0.0,0.0,0.0,4.89472,0.522978275577959
105,105,0.06,0.0007671053052685314,0.0,0.0,0.65688,5.13024,0.5256708042285713
106,106,0.06,0.0004219079178976923,0.0,0.0,0.0,4.9664,0.42273064413178163
107,107,0.02,0.00023204935484373083,0.0,0.0,0.0,5.099520000000001,0.4824138279406898
108,108,0.02,0.00012762714516405195,0.0,0.0,0.0,5.30432,0.48078129199048997
109,109,0.02,7.019492984022856e-05,0.0,0.0,0.0,5.25312,0.4555593795116528
110,110,0.03,3.860721141212571e-05,0.0,0.0,0.0,5.38624,0.44726139154838496
111,111,0.05,2.123396627666914e-05,0.0,0.0,0.0,5.181439999999999,0.4116600646232333
112,112,0.02,0.0019731634227999678,0.0,0.0,3.5548800000000003,5.0483199999999995,0.445997468578153
113,113,0.04,0.005800198399011214,0.0,0.0,0.75348,5.0688,0.4596631408889326
114,114,0.07,0.005703159855579655,0.0,0.0,0.0,5.07904,0.26215752016516564
115,115,0.07,0.004909080193892132,0.0,0.0,3.05256,5.2223999999999995,0.48437314966175543
116,116,0.13,0.024802282253718406,0.0,0.0,11.71758,4.92544,0.9037209131240853
117,117,0.13,0.0729497017195492,0.0,0.0,5.10048,5.03808,1.0728685584458313
118,118,0.24,0.21296733942467355,0.0,0.0,21.27132,5.03808,1.8147496678777815
119,119,0.26,0.3549023185947291,0.0,0.0,0.40571999999999997,5.44768,1.8324369191309597
120,120,0.25,0.23128092205397902,0.0,0.0,0.0,5.56032,1.1169476854374811
121,121,0.1,0.12831917421658953,100.0,0.0,0.0,5.1712,1.5972351025423124
122,122,0.11,0.07057554581912422,0.0,0.0,0.0,5.181439999999999,1.524946301229484
123,123,0.12,0.05660085386980672,0.0,0.0,3.8833199999999994,5.1097600000000005,1.4976897220468015
124,124,0.08,0.16718860258841275,0.0,0.0,10.79022,5.140479999999999,1.8153576887781064
125,125,0.13,0.39826646288739875,0.0,0.0,9.09972,4.75136,1.8445070371263073
126,126,0.13,0.4536760505357305,0.0,0.0,0.36708,4.864,1.7761120760068008
127,127,0.16,0.2834935320679101,0.0,0.0,0.0,5.16096,1.0812492903905258
128,128,0.09,0.15706413015715281,0.0,0.0,0.0,5.4784,1.8568761231521516
129,129,0.09,0.09279954459225778,0.0,0.0,2.58888,5.41696,1.7648672715880351
130,130,0.13,0.09671237235602048,0.0,0.0,2.9946,5.3964799999999995,1.779754235663216
131,131,0.18,0.11629690175359964,0.0,0.0,0.0,4.67968,0.8159312134222493
132,132,0.17,0.07116528155852256,0.0,0.0,0.0,4.59776,1.3988482723625137
133,133,0.2,0.0391409048571874,0.0,0.0,0.0,4.802560000000001,1.4019908258877098
134,134,0.2,0.021527497671453073,0.0,0.0,0.0,5.0483199999999995,1.4117616757571563
135,135,0.16,0.01184012371929919,0.0,0.0,0.0,5.12,1.368906156560842
136,136,0.13,0.006512068045614554,0.0,0.0,0.0,5.29408,1.3527958994513352
137,137,0.12,0.0035816374250880047,0.0,0.0,0.0,5.29408,1.291298476797825
138,138,0.13,0.03406967021837282,0.0,0.0,6.4915199999999995,5.232640000000001,1.3893290581588427
139,139,0.16,0.11331927394501645,0.0,0.0,4.45326,5.150720000000001,1.4598686389437008
140,140,0.2,0.3010252547050689,0.0,0.0,18.34434,5.365760000000001,2.1381498099043212
141,141,0.33,0.474356004486709,0.0,0.0,0.0,5.08928,1.1130262319181916
142,142,0.29,0.2960148936659665,0.0,0.0,0.58926,5.16096,1.8452504447701439
143,143,0.26,0.1628081915162816,0.0,0.0,0.0,5.44768,1.6578416664367075
144,144,0.25,0.08954450533395487,0.0,0.0,0.0,4.73088,1.54544208238001
145,145,0.21,0.1907678972887943,0.0,0.0,14.345099999999999,4.9152,1.948195088845646
146,146,0.26,0.4629354609446674,0.0,0.0,6.762,4.864,2.00168463322071
147,147,0.3,0.4776526190886191,0.0,0.0,0.5796,4.44416,1.7338868000103007
148,148,0.13,0.3011332853953044,0.0,0.0,0.0,4.64896,0.9687976005856164
149,149,0.11,0.40906633163317596,0.0,0.0,18.39264,4.48512,2.1050336162656316
150,150,0.26,0.8156451901863038,0.0,0.0,7.843919999999999,4.2598400000000005,2.03845966976696
151,151,1.1,2.4003311640177363,0.0,0.0,76.78733999999999,3.54304,3.8641759709320507
152,152,4.57,5.389120948500876,400.0,2.4017669822415737,24.02442,3.2256,3.252246445297294
153,153,2.6,7.225657052276232,0.0,0.0,44.23314,3.4304,3.6037224151647553
154,154,2.78,7.807109728570934,0.0,0.0,1.13022,4.42368,4.058635316375702
155,155,1.56,5.065012627515977,0.0,0.0,4.21176,4.42368,4.002282657226596
156,156,1.07,3.29024267957299,0.0,0.0,1.97064,3.9936,3.508470769698207
157,157,1.53,2.832477575007043,0.0,0.0,19.67742,3.67616,3.4224725082656478
158,158,2.41,3.4381246058633272,0.0,0.0,10.2396,3.6351999999999998,3.3039883498748712
159,159,1.79,3.6548902486517783,0.0,0.0,19.377959999999998,4.1983999999999995,3.951149060069609
160,160,2.36,3.9240029411793556,0.0,0.0,8.24964,4.0448,3.6692182799718607
161,161,4.03,4.298956862357954,0.0,0.0,31.86834,3.03104,2.9989447235931657
162,162,8.23,5.8369265426185555,0.0,0.0,22.86522,3.34848,3.2897110708522965
163,163,5.07,6.244469324710906,0.0,0.0,18.75006,3.84,3.7359996426846327
164,164,11.87,7.412685270963331,0.0,0.0,48.22272,4.116479999999999,4.411312083991635
165,165,17.07,10.684281733398834,0.0,0.0,51.6327,3.88096,4.25031912389561
166,166,24.23,13.737873707427191,0.0,0.0,58.04694,3.6147199999999997,4.049588274538569
167,167,28.48,16.165704059677985,0.0,0.0,55.48703999999999,2.84672,3.1808324263367185
168,168,30.61,17.91433736437328,0.0,0.0,62.08481999999999,3.21536,3.6652044736922993
169,169,22.78,18.178014924350386,0.0,0.0,33.35598,3.42016,3.618914973023004
170,170,20.85,18.12965961899702,0.0,0.0,79.96548,3.76832,4.496475659770908
171,171,28.13,18.394082063456665,0.0,0.0,7.3416,3.72736,3.690715353881899
172,172,17.31,13.97253519400229,0.0,0.0,36.060779999999994,3.28704,3.4811236497325653
