,xdata,Q,Qm,Wstart,Ctot,P,Ep,Ea
0,0,0.49,0.0,0.0,0.0,0.043440000000000006,4.35638,0.0
1,1,0.49,0.0,100.0,0.0,0.0,4.49587,0.0
2,2,0.4,0.0,0.0,0.0,0.0,4.68901,0.0
3,3,0.38,0.0,0.0,0.0,0.0,4.517329999999999,0.0
4,4,0.38,0.0,0.0,0.0,0.0,4.431489999999999,0.0
5,5,0.4,0.0,0.0,0.0,0.0,4.27054,0.0
6,6,0.38,0.0,0.0,0.0,0.0,4.24908,0.0
7,7,0.38,0.0,0.0,0.0,0.0,4.27054,0.0
8,8,0.37,0.0,0.0,0.0,0.0,4.184699999999999,0.0
9,9,0.33,0.0,0.0,0.0,0.0,4.5066,0.0
10,10,0.33,0.0,0.0,0.0,0.0,4.56025,0.0
11,11,0.33,0.0,0.0,0.0,0.0,4.59244,0.0
12,12,0.35,0.0,0.0,0.0,0.0,4.59244,0.0
13,13,0.38,0.0,0.0,0.0,0.0,4.59244,0.0
14,14,0.33,0.0,0.0,0.0,0.0,4.667549999999999,0.0
15,15,0.32,0.0,0.0,0.0,0.0,4.517329999999999,0.0
16,16,0.32,0.0,0.0,0.0,0.0,4.581709999999999,0.0
17,17,0.29,0.0,0.0,0.0,0.0,4.54952,0.0
18,18,0.26,0.0,0.0,0.0,0.0,4.699739999999999,0.0
19,19,0.22,0.0,0.0,0.0,0.0,4.581709999999999,0.0
20,20,0.26,0.0,0.0,0.0,0.0,4.5066,0.0
21,21,0.2,0.0,0.0,0.0,0.0,4.46368,0.0
22,22,0.2,0.0,0.0,0.0,0.0,4.57098,0.0
23,23,0.18,0.0,0.0,0.0,0.0,4.68901,0.0
24,24,0.41,0.0,0.0,0.0,0.0,4.63536,0.0
25,25,0.43,0.0,0.0,0.0,0.0,4.699739999999999,0.0
26,26,0.4,0.0,0.0,0.0,0.0,4.7212000000000005,0.0
27,27,0.37,0.0,0.0,0.0,0.0,4.57098,0.0
28,28,0.34,0.0,0.0,0.0,0.0,4.59244,0.0
29,29,0.33,0.0,0.0,0.0,0.0,4.613899999999999,0.0
30,30,0.32,0.0,0.0,0.0,0.0,4.54952,0.0
31,31,0.31,0.0,0.0,0.0,0.0,5.064559999999999,0.0
32,32,0.37,0.0,100.0,0.0,0.0,4.989450000000001,0.0
33,33,0.35,0.0,0.0,0.0,0.0,5.161129999999999,0.0
34,34,0.33,0.0,0.0,0.0,0.0,5.12894,0.0
35,35,0.25,0.0,0.0,0.0,0.0,4.892879999999999,0.0
36,36,0.25,0.0,0.0,0.0,0.0,4.46368,0.0
37,37,0.29,0.0,0.0,0.0,0.0,4.989450000000001,0.0
38,38,0.34,0.0,0.0,0.0,0.0,4.807040000000001,0.0
39,39,0.33,0.0,0.0,0.0,0.0,4.7212000000000005,0.0
